Name:
Sagar

Nr.   Week   Date     Time    Avalibility
1     Thu    11-23    08-11   1
2     Thu    11-23    10-13   0
3     Thu    11-23    12-15   0
4     Thu    11-23    14-17   0
5     Thu    11-23    16-19   1
6     Fri    11-24    12-15   0
7     Fri    11-24    14-17   0
8     Fri    11-24    16-19   1
9     Mon    11-27    08-11   1    
10    Mon    11-27    10-13   0
11    Mon    11-27    15-18   0
12    Tue    11-28    08-11   1    
13    Tue    11-28    10-13   0	  
14    Tue    11-28    12-15   0	  
15    Tue    11-28    14-17   0	
16    Tue    11-28    16-19   1
17    Wed    11-29    08-11   1
18    Wed    11-29    10-13   0
19    Wed    11-29    12-15   0
20    Wed    11-29    14-17   0
21    Wed    11-29    16-19   1
22    Thu    11-30    08-11   1
23    Thu    11-30    10-13   0
24    Thu    11-30    12-15   0
25    Thu    11-30    14-17   0
26    Thu    11-30    16-19   1
27    Fri    12-01    12-15   0
28    Fri    12-01    14-17   0
29    Fri    12-01    16-19   1
30    Mon    12-04    08-11   1
31    Mon    12-04    10-13   0
32    Mon    12-04    15-18   0
33    Tue    12-05    08-11   1
34    Tue    12-05    10-13   0
35    Tue    12-05    12-15   0
36    Tue    12-05    14-17   0
37    Tue    12-05    16-19   1
38    Wed    12-06    08-11   1
39    Wed    12-06    10-13   0
40    Wed    12-06    15-18   0
